test_query,rank,split,similar_query,similarity_score
Salmon is a type of fish.,2,train,The Problem with Organic Salmon,0.6396711
Salmon is a type of fish.,3,train,fish oil,0.61567426
Salmon is a type of fish.,4,train,puffer fish,0.5387223
Salmon is a type of fish.,5,val,bluefish,0.5371887
"Who gives better advice, pharmacists or health food store employees?",1,test,Pharmacists Versus Health Food Store Employees: Who Gives Better Advice?,0.9372041
"Who gives better advice, pharmacists or health food store employees?",2,train,Bad Advice From Health Food Store Employees,0.76411533
"Who gives better advice, pharmacists or health food store employees?",3,train,Health Food Store Advice: Often Worthless or Worst,0.6941711
"Who gives better advice, pharmacists or health food store employees?",4,train,Dangerous Advice From Health Food Store Employees,0.6769048
"Who gives better advice, pharmacists or health food store employees?",5,train,pharmacists,0.64691037
You can keep your hands warm by using citrus.,1,test,Keeping Your Hands Warm With Citrus,0.9029048
You can keep your hands warm by using citrus.,2,test,How Citrus Might Help Keep Your Hands Warm,0.8509095
You can keep your hands warm by using citrus.,3,train,cold hands,0.67282116
You can keep your hands warm by using citrus.,4,train,Enhancing Athletic Performance With Peppermint,0.5460979
You can keep your hands warm by using citrus.,5,val,Reducing Muscle Fatigue With Citrus,0.5262153
The actual benefit of diet versus drugs is the same.,1,test,The Actual Benefit of Diet vs. Drugs,0.6222004
The actual benefit of diet versus drugs is the same.,2,train,Heart disease: there is a cure,0.48277608
The actual benefit of diet versus drugs is the same.,3,val,Fully Consensual Heart Disease Treatment,0.4639096
The actual benefit of diet versus drugs is the same.,4,train,Don't Forget Fiber,0.45283103
The actual benefit of diet versus drugs is the same.,5,train,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,0.45052785
Psoriasis can be treated by adopting plant-based diets.,1,test,Plant-Based Diets for Psoriasis,0.82419646
Psoriasis can be treated by adopting plant-based diets.,2,train,psoriasis,0.7605822
Psoriasis can be treated by adopting plant-based diets.,3,train,Plant-Based Diets for Rheumatoid Arthritis,0.6208351
Psoriasis can be treated by adopting plant-based diets.,4,train,Diet & Rheumatoid Arthritis,0.5640245
Psoriasis can be treated by adopting plant-based diets.,5,train,Plant-Based Diets for Fibromyalgia,0.5551188
The norovirus is a type of virus.,1,test,norovirus,0.7801891
The norovirus is a type of virus.,2,val,poultry viruses,0.6610724
The norovirus is a type of virus.,3,train,cancer viruses,0.602731
The norovirus is a type of virus.,4,train,Obesity-Causing Chicken Virus,0.5734644
The norovirus is a type of virus.,5,train,feline leukemia virus,0.54137254
Is distilled fish oil free of toxins?,1,test,Is Distilled Fish Oil Toxin-Free?,0.91549295
Is distilled fish oil free of toxins?,2,train,Is Fish Oil Just Snake Oil?,0.6988465
Is distilled fish oil free of toxins?,3,train,DDT in Fish Oil Supplements,0.6674808
Is distilled fish oil free of toxins?,4,train,Fish Oil in Troubled Waters,0.62915915
Is distilled fish oil free of toxins?,5,train,The Reversal on Fish Oil,0.62318516
Ergothioneine is a compound that is needed in the body.,1,test,ergothioneine,0.70235157
Ergothioneine is a compound that is needed in the body.,2,train,Ergothioneine: A New Vitamin?,0.6042445
Ergothioneine is a compound that is needed in the body.,3,train,Ergothioneine: A New Vitamin?,0.6042445
Ergothioneine is a compound that is needed in the body.,4,val,Protein and Heart Disease,0.43264472
Ergothioneine is a compound that is needed in the body.,5,train,methionine,0.423463
The process of altering genes through genetic manipulation.,1,test,genetic manipulation,0.70955837
The process of altering genes through genetic manipulation.,2,train,Cancer-Proofing Mutation,0.4781031
The process of altering genes through genetic manipulation.,3,train,GMO,0.47473222
The process of altering genes through genetic manipulation.,4,train,GMO,0.47473222
The process of altering genes through genetic manipulation.,5,train,GMO Soy and Breast Cancer,0.45649773
The actual benefit of diet compared to drugs is what?,1,test,The Actual Benefit of Diet vs. Drugs,0.7359491
The actual benefit of diet compared to drugs is what?,2,train,Cancer Reversal Through Diet?,0.47596988
The actual benefit of diet compared to drugs is what?,3,train,Diet vs. Exercise for Weight Loss,0.44671237
The actual benefit of diet compared to drugs is what?,4,train,"Is It the Diet, the Exercise, or Both?",0.44582775
The actual benefit of diet compared to drugs is what?,5,test,Caloric Restriction vs. Plant-Based Diets,0.43606263
Are there any subsidies available?,1,test,subsidies,0.76352525
Are there any subsidies available?,2,train,Taxpayer Subsidies for Unhealthy Foods,0.54136884
Are there any subsidies available?,3,train,"Food Industry ""Funding Effect""",0.3962197
Are there any subsidies available?,4,train,Food Industry Funded Research Bias,0.3623396
Are there any subsidies available?,5,train,Our Tax Dollars Subsidize Unhealthy Foods,0.3354643
Medical ethics is the ethical principles and moral values that guide healthcare professionals decision-making and conduct.,1,test,medical ethics,0.76650214
Medical ethics is the ethical principles and moral values that guide healthcare professionals decision-making and conduct.,2,train,medical profession,0.62898564
Medical ethics is the ethical principles and moral values that guide healthcare professionals decision-making and conduct.,3,train,Physicians Committee for Responsible Medicine,0.6141983
Medical ethics is the ethical principles and moral values that guide healthcare professionals decision-making and conduct.,4,val,medical education,0.5927869
Medical ethics is the ethical principles and moral values that guide healthcare professionals decision-making and conduct.,5,train,What Diet Should Physicians Recommend?,0.58999336
The Philippines is a country.,1,test,philippines,0.6595088
The Philippines is a country.,2,train,Indonesia,0.4886553
The Philippines is a country.,3,train,Singapore,0.41437548
The Philippines is a country.,4,train,Malaysia,0.37995738
The Philippines is a country.,5,train,South Africa,0.35444283
"Adenovirus 36 is related to childhood obesity, also known as Infectobesity.",1,test,Infectobesity: Adenovirus 36 and Childhood Obesity,0.9336717
"Adenovirus 36 is related to childhood obesity, also known as Infectobesity.",2,test,adenovirus 36,0.72841793
"Adenovirus 36 is related to childhood obesity, also known as Infectobesity.",3,train,Obesity-Causing Chicken Virus,0.6201998
"Adenovirus 36 is related to childhood obesity, also known as Infectobesity.",4,val,poultry viruses,0.48976803
"Adenovirus 36 is related to childhood obesity, also known as Infectobesity.",5,train,fecal contamination,0.48900002
Diet has the potential to prevent strokes.,1,test,Preventing Strokes with Diet,0.79581463
Diet has the potential to prevent strokes.,2,val,How to Prevent a Stroke,0.6986424
Diet has the potential to prevent strokes.,3,train,Heart Attacks and Cholesterol: Purely a Question of Diet,0.6014111
Diet has the potential to prevent strokes.,4,train,PREDIMED: Does Eating Nuts Prevent Strokes?,0.5923327
Diet has the potential to prevent strokes.,5,train,China Study on Sudden Cardiac Death,0.56644106
The study about womens health in Iowa is called Iowa Womens Health Study.,1,test,Iowa Women’s Health Study,0.7656034
The study about womens health in Iowa is called Iowa Womens Health Study.,2,train,Women’s Healthy Eating and Living Study,0.58867913
The study about womens health in Iowa is called Iowa Womens Health Study.,3,train,Fiber vs. Breast Cancer,0.4725387
The study about womens health in Iowa is called Iowa Womens Health Study.,4,train,Soy & Breast Cancer,0.46153498
The study about womens health in Iowa is called Iowa Womens Health Study.,5,train,Exercise & Breast Cancer,0.45635906
Dragon fruit is beneficial for your health.,1,test,Is Dragon Fruit Good For You?,0.87072015
Dragon fruit is beneficial for your health.,2,test,Better Than Goji Berries,0.6274247
Dragon fruit is beneficial for your health.,3,train,Best Berries,0.5681962
Dragon fruit is beneficial for your health.,4,train,Best Fruit Juice,0.53836143
Dragon fruit is beneficial for your health.,5,train,Are Goji Berries Good for You?,0.52860177
Which vitamin supplements are worth taking?,1,test,Vitamin Supplements Worth Taking,0.90023327
Which vitamin supplements are worth taking?,2,train,Some Dietary Supplements May Be More Than a Waste of Money,0.61389637
Which vitamin supplements are worth taking?,3,train,Are Multivitamins Just a Waste of Money?,0.59968615
Which vitamin supplements are worth taking?,4,train,Antioxidant Vitamin Supplements,0.58947563
Which vitamin supplements are worth taking?,5,train,Should We Take a Multivitamin?,0.5831759
Peanut butter is being requested.,1,test,peanut butter,0.657959
Peanut butter is being requested.,2,train,Is Peanut Butter Good for You?,0.58926827
Peanut butter is being requested.,3,train,pistachios,0.47569
Peanut butter is being requested.,4,train,macadamia nuts,0.46807158
Peanut butter is being requested.,5,train,peanuts,0.4542212
What is the state of health in the uterus?,1,test,uterine health,0.60990244
What is the state of health in the uterus?,2,val,uterine cancer,0.5095292
What is the state of health in the uterus?,3,train,menopause,0.48613068
What is the state of health in the uterus?,4,train,endometrial health,0.48403418
What is the state of health in the uterus?,5,test,Iowa Women’s Health Study,0.4697872
What is benzene?,1,test,benzene,0.7611672
What is benzene?,2,train,Benzene in Carrot Juice,0.5509461
What is benzene?,3,train,polycyclic aromatic hydrocarbons,0.54580545
What is benzene?,4,train,polycyclic hydrocarbons,0.47485107
What is benzene?,5,test,carcinogens,0.46661478
Taro is being referred to.,1,test,taro,0.744022
Taro is being referred to.,2,train,Chomorro,0.34486493
Taro is being referred to.,3,train,saoot,0.32869938
Taro is being referred to.,4,train,miso,0.3102606
Taro is being referred to.,5,train,Kuna Indians,0.2961614
"The query seems to be incomplete as it only includes the term ""thiamine."" Please provide more context or rephrase the question for further assistance.",1,test,thiamine,0.8222875
"The query seems to be incomplete as it only includes the term ""thiamine."" Please provide more context or rephrase the question for further assistance.",2,test,ergothioneine,0.4517761
"The query seems to be incomplete as it only includes the term ""thiamine."" Please provide more context or rephrase the question for further assistance.",3,train,Ergothioneine: A New Vitamin?,0.40816018
"The query seems to be incomplete as it only includes the term ""thiamine."" Please provide more context or rephrase the question for further assistance.",4,train,Ergothioneine: A New Vitamin?,0.40816018
"The query seems to be incomplete as it only includes the term ""thiamine."" Please provide more context or rephrase the question for further assistance.",5,val,Update on Spirulina,0.40428054
What is Chanterelle mushrooms.,1,test,chanterelle mushrooms,0.8241552
What is Chanterelle mushrooms.,2,train,oyster mushrooms,0.6417086
What is Chanterelle mushrooms.,3,train,woodear mushrooms,0.6147913
What is Chanterelle mushrooms.,4,train,mushrooms,0.56710845
What is Chanterelle mushrooms.,5,train,crimini mushrooms,0.56302315
The query of whether Milk and Mucus is a myth.,1,test,Is Milk and Mucus a Myth?,0.9106622
The query of whether Milk and Mucus is a myth.,2,test,Childhood Constipation and Cow’s Milk,0.60952795
The query of whether Milk and Mucus is a myth.,3,train,The Acne-Promoting Effects of Milk,0.5192852
The query of whether Milk and Mucus is a myth.,4,train,Prostate Cancer and Organic Milk vs. Almond Milk,0.5111572
The query of whether Milk and Mucus is a myth.,5,val,Is vanilla almond milk healthy?,0.5082437
What is the healthiest sweetener?,1,train,What's the best low calorie sweetener?,0.903902
What is the healthiest sweetener?,2,test,The Healthiest Sweetener,0.90192693
What is the healthiest sweetener?,3,train,"Is There a Safe, Low-Calorie Sweetener?",0.7774848
What is the healthiest sweetener?,4,train,Is Stevia Good For You?,0.69685197
What is the healthiest sweetener?,5,train,Erythritol May Be a Sweet Antioxidant,0.66794634
The red tea consists of what?,1,train,Green Tea vs. White,0.7317773
The red tea consists of what?,2,test,red tea,0.6660354
The red tea consists of what?,3,train,black tea,0.66576576
The red tea consists of what?,4,train,white tea,0.6584903
The red tea consists of what?,5,train,honeybush tea,0.6559013
IGF-1 is an abbreviation referring to a certain query.,1,test,IGF-1,0.6617256
IGF-1 is an abbreviation referring to a certain query.,2,train,Protein Intake & IGF-1 Production,0.59616154
IGF-1 is an abbreviation referring to a certain query.,3,train,IGF-1 as One-Stop Cancer Shop,0.5672311
IGF-1 is an abbreviation referring to a certain query.,4,val,How Plant-Based to Lower IGF-1?,0.54016864
IGF-1 is an abbreviation referring to a certain query.,5,train,Waistline Slimming Food,0.38846725
Fat toxicity is the underlying cause of diabetes.,1,test,Diabetes as a Disease of Fat Toxicity,0.8253499
Fat toxicity is the underlying cause of diabetes.,2,train,Why Would Eating Fish Increase Diabetes Risk?,0.69538593
Fat toxicity is the underlying cause of diabetes.,3,train,The Spillover Effect Links Obesity to Diabetes,0.668372
Fat toxicity is the underlying cause of diabetes.,4,train,Fish and Diabetes,0.65423703
Fat toxicity is the underlying cause of diabetes.,5,train,How to Prevent Diabetes,0.65384316
Molasses is being referred to.,1,test,molasses,0.8567257
Molasses is being referred to.,2,test,carrageenan,0.4655959
Molasses is being referred to.,3,train,butyrate,0.42442572
Molasses is being referred to.,4,train,maltodextrin,0.4212754
Molasses is being referred to.,5,train,sodium benzoate,0.41971087
Mesquite is a type of tree or shrub.,1,test,mesquite,0.72582054
Mesquite is a type of tree or shrub.,2,train,Pinto Beans vs. Black Beans,0.4452086
Mesquite is a type of tree or shrub.,3,train,"Beans, Beans, Good for Your Heart",0.44026268
Mesquite is a type of tree or shrub.,4,train,U.S. Dry Bean Council,0.4346375
Mesquite is a type of tree or shrub.,5,train,pinto beans,0.4278767
Oral intraepithelial neoplasia is a condition that refers to the presence of abnormal cells within the epithelial layer of the oral cavity.,1,test,oral intraepithelial neoplasia,0.86717486
Oral intraepithelial neoplasia is a condition that refers to the presence of abnormal cells within the epithelial layer of the oral cavity.,2,train,Plant-Based Diets: Oral Health,0.6600524
Oral intraepithelial neoplasia is a condition that refers to the presence of abnormal cells within the epithelial layer of the oral cavity.,3,train,periodontal disease,0.64661616
Oral intraepithelial neoplasia is a condition that refers to the presence of abnormal cells within the epithelial layer of the oral cavity.,4,val,oral health,0.64507675
Oral intraepithelial neoplasia is a condition that refers to the presence of abnormal cells within the epithelial layer of the oral cavity.,5,train,Diet & Lichen Planus,0.6393371
Is pork included in this dish?,1,train,National Pork Board,0.4556497
Is pork included in this dish?,2,test,pork,0.41296244
Is pork included in this dish?,3,train,sausage,0.39068732
Is pork included in this dish?,4,test,veal,0.3865574
Is pork included in this dish?,5,train,beef brains,0.38190377
Is rapamycin an effective treatment for certain types of cancer?,1,test,rapamycin,0.7943912
Is rapamycin an effective treatment for certain types of cancer?,2,train,Kaposi’s sarcoma,0.5703159
Is rapamycin an effective treatment for certain types of cancer?,3,train,Is Caloric Restriction Good For You?,0.51649743
Is rapamycin an effective treatment for certain types of cancer?,4,train,Too Much Soy May Neutralize Benefits,0.4923399
Is rapamycin an effective treatment for certain types of cancer?,5,train,Soy Hormones & Male Infertility,0.48914522
Restricting caloric intake.,1,test,caloric restriction,0.72204053
Restricting caloric intake.,2,test,low-carb diets,0.5639594
Restricting caloric intake.,3,train,weight loss,0.53135836
Restricting caloric intake.,4,train,calories,0.5252194
Restricting caloric intake.,5,test,Caloric Restriction vs. Plant-Based Diets,0.508274
Has there been any new information or progress regarding the frightening avocado data obtained through in vitro testing?,1,test,Any update on the scary in vitro avocado data?,0.9109096
Has there been any new information or progress regarding the frightening avocado data obtained through in vitro testing?,2,val,Are Avocados Bad for You?,0.6061306
Has there been any new information or progress regarding the frightening avocado data obtained through in vitro testing?,3,val,Are Avocados Good for You?,0.530751
Has there been any new information or progress regarding the frightening avocado data obtained through in vitro testing?,4,test,Are Avocados Good for You?,0.5307509
Has there been any new information or progress regarding the frightening avocado data obtained through in vitro testing?,5,train,Carcinogen Blocking Effects of Turmeric,0.4869814
Crib death refers to the phenomenon of a baby unexpectedly dying in their crib.,1,test,crib death,0.7398962
Crib death refers to the phenomenon of a baby unexpectedly dying in their crib.,2,val,Cow’s Milk Casomorphin and Crib Death,0.4577262
Crib death refers to the phenomenon of a baby unexpectedly dying in their crib.,3,train,SIDS,0.43575114
Crib death refers to the phenomenon of a baby unexpectedly dying in their crib.,4,train,Did a Vegan Diet Kill This Baby?,0.41036224
Crib death refers to the phenomenon of a baby unexpectedly dying in their crib.,5,train,American Vegans Placing Babies At Risk,0.4033621
Cholesterol is related to lower back pain.,1,test,Cholesterol and Lower Back Pain,0.9398659
Cholesterol is related to lower back pain.,2,train,lower back pain,0.83317816
Cholesterol is related to lower back pain.,3,train,Back in Circulation: Sciatica and Cholesterol,0.79379225
Cholesterol is related to lower back pain.,4,train,back pain,0.7787373
Cholesterol is related to lower back pain.,5,train,sciatica,0.6912404
Insects exist.,1,test,insects,0.7211071
Insects exist.,2,train,omnivores,0.41593826
Insects exist.,3,test,worms,0.41586098
Insects exist.,4,val,parasites,0.41416618
Insects exist.,5,val,animal studies,0.3340458
Are vegetarians receiving adequate protein intake?,1,test,Do Vegetarians Get Enough Protein?,0.87244976
Are vegetarians receiving adequate protein intake?,2,val,Plant-Based Diets for Metabolic Syndrome,0.58377784
Are vegetarians receiving adequate protein intake?,3,train,Protein Intake & IGF-1 Production,0.5537236
Are vegetarians receiving adequate protein intake?,4,train,Metabolic Syndrome and Plant-Based Diets,0.54058623
Are vegetarians receiving adequate protein intake?,5,val,Protein and Heart Disease,0.5384054
Japan is a country.,1,test,Japan,0.6741307
Japan is a country.,2,train,Asia,0.38965347
Japan is a country.,3,train,Israel,0.3405171
Japan is a country.,4,train,Indonesia,0.3386494
Japan is a country.,5,train,Korea,0.31605685
Trans fats are being researched by scientists to determine their impact on human health.,1,train,Trans Fat In Meat And Dairy,0.78366125
Trans fats are being researched by scientists to determine their impact on human health.,2,train,Trans Fat in Animal Fat,0.7525642
Trans fats are being researched by scientists to determine their impact on human health.,3,train,"Trans Fat, Saturated Fat, and Cholesterol: Tolerable Upper Intake of Zero",0.7438623
Trans fats are being researched by scientists to determine their impact on human health.,4,val,The Saturated Fat Studies: Set Up to Fail,0.72719544
Trans fats are being researched by scientists to determine their impact on human health.,5,test,trans fats,0.681269
What is liver disease?,1,test,liver disease,0.8908569
What is liver disease?,2,train,liver health,0.8441741
What is liver disease?,3,val,fatty liver disease,0.78906184
What is liver disease?,4,train,nonalcoholic fatty liver disease,0.69438267
What is liver disease?,5,val,liver cancer,0.6724941
"""The Atkins diet is a low-carbohydrate eating plan that helps individuals lose weight.""",1,train,Plant-Based Atkins Diet,0.6431313
"""The Atkins diet is a low-carbohydrate eating plan that helps individuals lose weight.""",2,train,Eco-Atkins diet,0.61276567
"""The Atkins diet is a low-carbohydrate eating plan that helps individuals lose weight.""",3,test,What do you think of Dr. Jenkins' take on paleolithic diets?,0.59383726
