test_query,most_similar_beir_queries,similarity_scores,max_similarity,mean_similarity
Is pork included in this dish?,"['pork', 'pork rinds', 'National Pork Board']",[0.6231185 0.5615908 0.5081557],0.6231185,0.12609851
Is rapamycin an effective treatment for certain types of cancer?,"['rapamycin', 'Gerson Therapy for Cancer?', 'Can diet be used to treat kidney cancer?']",[0.701185   0.55571425 0.5078217 ],0.701185,0.091867335
Restricting caloric intake.,"['The Benefits of Caloric Restriction Without the Actual Restricting', 'overeating', 'caloric restriction']",[0.6583967  0.60731006 0.56533134],0.6583967,0.1770517
Has there been any new information or progress regarding the frightening avocado data obtained through in vitro testing?,"['Any update on the scary in vitro avocado data?', 'Are Avocados Bad for You?', 'Are Avocados Good for You?']",[0.93387187 0.5012733  0.47261876],0.93387187,0.14105253
Crib death refers to the phenomenon of a baby unexpectedly dying in their crib.,"['crib death', 'Cow’s Milk Casomorphin and Crib Death', 'Cow’s Milk Casomorphin, Crib Death, and Autism']",[0.8145178  0.5521617  0.42776504],0.8145178,0.031788953
Cholesterol is related to lower back pain.,"['Cholesterol and Lower Back Pain', 'Back in Circulation: Sciatica and Cholesterol', 'lower back pain']",[0.9548882 0.7257314 0.617936 ],0.9548882,0.120675534
Insects exist.,"['insects', 'Bug Appétit: Barriers to Entomophagy', 'maggots']",[0.7657824  0.57824373 0.5194199 ],0.7657824,0.074446656
Are vegetarians receiving adequate protein intake?,"['Do Vegetarians Get Enough Protein?', 'Vegan Protein Status', 'vegetable protein']",[0.9336091 0.7089235 0.6187885],0.9336091,0.12425563
Japan is a country.,"['Japan', 'Asian Paradox', 'Indonesia']",[0.6342027  0.38099542 0.3789165 ],0.6342027,0.029378105
Trans fats are being researched by scientists to determine their impact on human health.,"['trans fats', 'Trans Fat in Animal Fat', 'The Saturated Fat Studies: Set Up to Fail']",[0.7752335  0.71394885 0.6999744 ],0.7752335,0.16482091
What is liver disease?,"['liver disease', 'fatty liver disease', 'liver health']",[0.87499654 0.75418544 0.7435935 ],0.87499654,0.12039643
"""The Atkins diet is a low-carbohydrate eating plan that helps individuals lose weight.""","['Atkins diet', 'Eco-Atkins diet', 'Plant-Based Atkins Diet']",[0.7817487  0.6583667  0.65488523],0.7817487,0.1298606
BPA plastic is linked to male sexual dysfunction.,"['BPA Plastic and Male Sexual Dysfunction', 'Is the plastic chemical BPA really harmful to your health?', 'BPA']",[0.9398664  0.65587914 0.5851112 ],0.9398664,0.14554423
"Magnesium is a chemical element with the symbol ""Mg"" on the periodic table.","['magnesium', 'Mineral of the Year—Magnesium', 'manganese']",[0.69152594 0.63740236 0.48880804],0.69152594,0.043673802
Comparing caloric restriction with plant-based diets.,"['Caloric Restriction vs. Plant-Based Diets', 'plant-based diets', 'Caloric Restriction vs. Animal Protein Restriction']",[0.9013846  0.717901   0.70787704],0.9013846,0.14781094
What is serotonin?,"['serotonin', 'The Best Way to Boost Serotonin', 'How To Boost Serotonin Naturally']",[0.8074055 0.567525  0.5549228],0.8074055,0.122754514
How much alcohol is safe for breast cancer?,"['Breast Cancer & Alcohol: How Much is Safe?', 'Breast Cancer and Alcohol: How Much is Safe?', 'Breast Cancer and Wine']",[0.94661546 0.93325233 0.7416743 ],0.94661546,0.12817389
Alternative medicine is another term for non-conventional or holistic forms of treatment.,"['alternative medicine', 'complementary medicine', 'homeopathy']",[0.76994634 0.6618629  0.58758557],0.76994634,0.10415768
Bacon that has been enriched with Vitamin C.,"['Vitamin C-Enriched Bacon', 'veggie bacon', 'bacon']",[0.9109678  0.75872594 0.7030505 ],0.9109678,0.23715547
Lyme disease is a medical condition caused by a bacteria transmitted through tick bites.,"['lyme disease', 'tick bites', 'Tick Bites, Meat Allergies, and Chronic Urticaria']",[0.8360694  0.5871272  0.48811993],0.8360694,0.058884967
Dr. Dean Ornish is a renowned individual in his field.,"['Dr. Dean Ornish', 'Dr. William Clifford Roberts', 'Dr. David Spence']",[0.87029827 0.48372978 0.4672903 ],0.87029827,0.088164754
Tufts University is a prestigious academic institution.,"['Tufts', 'Harvard', 'Yale']",[0.7017502 0.5727685 0.5245948],0.7017502,0.058249284
Diet can be utilized to prevent Ulcerative Colitis.,"['Preventing Ulcerative Colitis with Diet', 'Preventing Crohn’s Disease With Diet', 'Treating Crohn’s Disease With Diet']",[0.96867937 0.7388991  0.6987295 ],0.96867937,0.14456838
Does Caffeinated Tea Cause Dehydration?,"['Is Caffeinated Tea Dehydrating?', 'Is Caffeinated Tea Really Dehydrating?', 'Is Coffee Bad For You?']",[0.95737314 0.9535033  0.61743003],0.95737314,0.10691318
Sulfur is being inquired about.,"['sulfur', 'sulfur dioxide', 'hydrogen sulfide']",[0.8446183 0.7201687 0.6473713],0.8446183,0.1476292
Is D2 (ergocalciferol) inferior to D3 (cholecalciferol) as a preferable form of vitamin D?,"['Is vitamin D3 (cholecalciferol) preferable to D2 (ergocalciferol)?', 'Is Vitamin D3 Better Than D2?', 'Is Vitamin D the New Vitamin E?']",[0.97702575 0.8510831  0.7257439 ],0.97702575,0.12215459
Can plants and supplements be used to treat asthma?,"['Treating Asthma With Plants vs. Pills', 'Treating Asthma With Plants vs. Supplements?', 'Treating Asthma With Fruits and Vegetables']",[0.86211723 0.85918343 0.7690072 ],0.86211723,0.1477782
There are bagels.,"['bagels', 'bread', 'sandwiches']",[0.80242467 0.46808836 0.46106422],0.80242467,0.08359194
Parkinsons disease is a neurodegenerative disorder affecting movement and causing symptoms such as tremors and rigidity.,"[""Parkinson's disease"", 'parkinsonism-dementia complex', ""Treating Parkinson's Disease With Diet""]",[0.8324323  0.64937735 0.5919061 ],0.8324323,0.053121686
What is the bioavailability?,"['bioavailability', 'Boosting the Bioavailability of Curcumin', 'Airborne Supplements']",[0.8949019  0.50429255 0.48456368],0.8949019,0.1804151
Cauliflower is being referred to.,"['cauliflower', 'cruciferous vegetables', 'broccoli']",[0.8451215 0.5878031 0.5614244],0.8451215,0.1868002
Psoriasis can be effectively managed by adopting plant-based diets.,"['Plant-Based Diets for Psoriasis', 'psoriasis', 'Treating Asthma and Eczema With Plant-Based Diets']",[0.93863165 0.63724434 0.60158515],0.93863165,0.12584452
Bone fractures occur when there is a break in the bone.,"['bone fractures', 'bone health', 'bone cancer']",[0.7303566 0.5460333 0.4778899],0.7303566,0.02873079
Can probiotics be used to prevent the common cold?,"['Preventing the Common Cold with Probiotics?', 'Probiotics During Cold Season?', 'Can Gargling Prevent The Common Cold?']",[0.9560708 0.7587733 0.721578 ],0.9560708,0.13037784
What is titanium dioxide?,"['titanium dioxide', 'Should We Avoid Titanium Dioxide?', 'Titanium Dioxide & Inflammatory Bowel Disease']",[0.8847929 0.766873  0.5915402],0.8847929,0.10937464
The Dietary Theory of Alzheimers suggests a relationship between diet and Alzheimers.,"[""Dietary Theory of Alzheimer's"", 'Preventing Alzheimer’s Disease with Diet', 'Preventing Alzheimer’s with Lifestyle Changes']",[0.95654845 0.8773544  0.7888652 ],0.95654845,0.17200628
Suppositories are medicinal substances that are to be inserted into the rectum or vagina.,"['suppositories', 'enemas', 'laxatives']",[0.801308   0.49616638 0.47369698],0.801308,0.08192467
What are grapes?,"['grapes', 'Concord grapes', 'champagne grapes']",[0.7737096 0.6996018 0.6509707],0.7737096,0.12941554
Antinutrients refer to substances that hinder the absorption or utilization of nutrients in the body.,"['antinutrients', 'phytonutrients', 'Antioxidant Vitamin Supplements']",[0.7589892  0.50746423 0.49136043],0.7589892,0.12097873
The bioavailability is the amount of a substance that is able to enter the bloodstream and have an active effect on the body.,"['bioavailability', 'Boosting the Bioavailability of Curcumin', 'Understanding Lifestyle Medicine From the Heart']",[0.79160273 0.3740911  0.3036853 ],0.79160273,0.05192154
Organic foods possess a higher level of safety compared to non-organic foods.,"['Are Organic Foods Safer?', 'Are Organic Foods Healthier?', 'Are Organic Foods More Nutritious?']",[0.855109   0.78540707 0.7368837 ],0.855109,0.13511626
Insects are being referred to.,"['insects', 'insecticides', 'Bug Appétit: Barriers to Entomophagy']",[0.78930366 0.60373855 0.5648709 ],0.78930366,0.09107786
Red tea is being referred to.,"['red tea', 'tea', 'white tea']",[0.802565  0.696188  0.6785464],0.802565,0.1514194
Coffee is a beverage made from brewing ground coffee beans.,"['coffee', 'Update on Coffee', 'Is Coffee Bad For You?']",[0.6198097 0.599761  0.5734093],0.6198097,0.08389697
Phytates are used for the treatment of cancer.,"['Phytates for the Treatment of Cancer', 'Phytates for the Prevention of Cancer', 'Phytates for Rehabilitating Cancer Cells']",[0.93356687 0.8851367  0.84440494],0.93356687,0.18564922
The object is packed with lead.,"['Filled Full of Lead', 'lead', 'Get the Lead Out']",[0.66110164 0.6210816  0.45569363],0.66110164,0.052239995
Do krill oil supplements outperform fish oil capsules?,"['Are krill oil supplements better than fish oil capsules?', 'Is Fish Oil Just Snake Oil?', 'The Reversal on Fish Oil']",[0.98127353 0.5638542  0.54256356],0.98127353,0.13187991
The role of diet in breast cancer.,"['Breast Cancer and Diet', 'Which Dietary Factors Affect Breast Cancer Most?', 'Vegetables Versus Breast Cancer']",[0.9419955  0.7825098  0.74109745],0.9419955,0.14189805
Multivitamins have positive effects on your health.,"['Are Multivitamins Good For You?', 'multivitamins', 'Should We Take a Multivitamin?']",[0.88073236 0.8073392  0.7970725 ],0.88073236,0.15252398
The condition of the soil is important for its overall health.,"['soil health', 'Crop Nutrient Decline', 'mineral clay']",[0.87666726 0.46406034 0.41336644],0.87666726,0.074610695
The practices used in factory farming.,"['factory farming practices', 'farm animals', 'farmers']",[0.91496664 0.55136454 0.53426856],0.91496664,0.11516248
Native Americans are a group of people without altering their meaning.,"['Native Americans', 'Kuna Indians', 'African Americans']",[0.5770123  0.3673563  0.31814286],0.5770123,0.0026217385
The concept being referred to is memory.,"['memory', 'cognition', 'amnesia']",[0.67748463 0.51927435 0.46952802],0.67748463,0.022416787
Pineapples are being referred to.,"['pineapples', 'pineapple juice', 'pine nuts']",[0.817133   0.64275783 0.62430614],0.817133,0.14633138
Does Caramel Color have carcinogenic properties?,"['Is Caramel Color Carcinogenic?', 'Does Caramel Color Cause Cancer?', 'Are Artificial Colors Bad for You?']",[0.9785032  0.94819844 0.6518551 ],0.9785032,0.16249385
Betel nuts are a type of seed used for chewing.,"['Are Betel Nuts Good For You?', 'betel nuts', 'macadamia nuts']",[0.7953715  0.7790259  0.49565434],0.7953715,0.12477071
Where to find kidney beans?,"['kidney beans', 'beans', 'pinto beans']",[0.8111009 0.6284808 0.6155343],0.8111009,0.16839549
The individuals who should exercise caution with curcumin are?,"['Who Should be Careful About Curcumin?', 'Who Shouldn’t Consume Curcumin or Turmeric?', 'curcumin']",[0.82625824 0.6902596  0.63603365],0.82625824,0.21289356
The storage of dioxins in our own fat may result in an increased risk of diabetes.,"['Dioxins Stored in Our Own Fat May Increase Diabetes Risk', 'Diabetes and Dioxins', 'Diabetes as a Disease of Fat Toxicity']",[0.9644836  0.76997536 0.7181008 ],0.9644836,0.14746903
Where is Panama?,"['Panama', 'Uruguay', 'Mexico']",[0.84681076 0.494986   0.48356164],0.84681076,0.06829426
Green Overdose is happening.,"['Overdosing on Greens', '50 Shades of Greens', 'greens']",[0.7378556  0.55964565 0.53522986],0.7378556,0.16012082
Galactosemia is a condition related to the bodys inability to process galactose.,"['galactosemia', 'galactose', 'glyconutrients']",[0.8359139 0.6030608 0.4472734],0.8359139,0.112939015
Cows milk and childhood constipation are related.,"['Childhood Constipation and Cow’s Milk', 'Cow’s Milk Casomorphin, Crib Death, and Autism', 'Cow’s Milk Casomorphin and Crib Death']",[0.90108836 0.5934131  0.57978123],0.90108836,0.1683935
"The Dietary Guidelines cover a range of foods, including dairies and berries.","['Dietary Guidelines: From Dairies to Berries', 'dietary guidelines', 'plant-based diets']",[0.91032165 0.6925552  0.57244813],0.91032165,0.15277158
What is mesquite?,"['mesquite', 'mineral clay', 'mesclun mix']",[0.844314   0.45478964 0.4183121 ],0.844314,0.105383486
The size of ones stool has a correlation with the risk of developing breast cancer.,"['Stool Size and Breast Cancer Risk', 'Stool Size Matters', 'Fiber vs. Breast Cancer']",[0.82446605 0.61202115 0.53936654],0.82446605,0.13447219
Diets that are low in carbohydrates.,"['low-carb diets', 'Low Carb Diets Found to Feed Heart Disease', 'low-fat diets']",[0.8339443  0.74475694 0.72714007],0.8339443,0.17920898
Parkinsons disease is a neurological disorder.,"[""Parkinson's disease"", 'parkinsonism-dementia complex', ""Treating Parkinson's Disease With Diet""]",[0.85523355 0.69913703 0.6505625 ],0.85523355,0.08154458
What is Flax oil.,"['flax oil', 'flax seeds', 'Flax and Breast Cancer Prevention']",[0.79575217 0.6483166  0.5956467 ],0.79575217,0.11772089
Rhabdomyolysis is a medical condition involving the breakdown of muscle tissue.,"['rhabdomyolysis', 'muscle disease', 'myelopathy']",[0.8145027  0.59027755 0.43909058],0.8145027,0.09931753
Smoking is being referred to.,"['smoking', 'tobacco', 'smoked foods']",[0.7844672  0.6737406  0.65000033],0.7844672,0.14673471
Storing dioxins in our own fat could potentially raise the risk of developing diabetes.,"['Dioxins Stored in Our Own Fat May Increase Diabetes Risk', 'Diabetes and Dioxins', 'Counteracting the Effects of Dioxins Through Diet']",[0.92143506 0.71311736 0.6655952 ],0.92143506,0.15224402
Anisakis is a parasitic worm that can be found in certain fish species.,"['anisakis', 'anise', 'Allergenic Fish Worms']",[0.6462188  0.47784275 0.4696115 ],0.6462188,0.08155285
Thiamine is the subject of the following query.,"['thiamine', 'Ergothioneine: A New Vitamin?', 'Ergothioneine: A New Vitamin?']",[0.7978902  0.52261233 0.5226122 ],0.7978902,0.14218059
Goji berries are being sought after.,"['goji berries', 'Better Than Goji Berries', 'Are Goji Berries Good for You?']",[0.83985007 0.7477894  0.69222814],0.83985007,0.13632092
Fenugreek Seeds offer numerous benefits.,"['Benefits of Fenugreek Seeds', 'Increasing Muscle Strength with Fenugreek', 'Side-Effect of Fenugreek Consumption']",[0.9204955  0.6099464  0.58032286],0.9204955,0.15757072
Leeks are a type of vegetable.,"['leeks', 'vegetables', 'Veggiecation']",[0.7436914  0.57135063 0.5412438 ],0.7436914,0.12831526
The comparison is between calcium derived from plants and calcium derived from cows.,"['Plant vs. Cow Calcium', 'Calcium Absorption: Soy Milk Versus Cow Milk', 'calcium']",[0.87430394 0.6441216  0.5158352 ],0.87430394,0.12313344
St. Johns wort is being referred to.,"[""St. John's wort"", 'flavonols', 'flavonoids']",[0.9025618 0.5348245 0.5078462],0.9025618,0.19143993
"Vaccines and food contain aluminum, but in different amounts.","['Aluminum in Vaccines vs. Food', 'Mercury in Vaccinations vs. Tuna', 'Is There Too Much Aluminum in Tea?']",[0.9163061  0.55132425 0.5075004 ],0.9163061,0.14888342
Finland is a country in northern Europe.,"['Finland', 'Norway', 'Sweden']",[0.69297576 0.49992713 0.47018996],0.69297576,0.04038902
Excess estrogen can be relieved.,"['Relieving Yourself of Excess Estrogen', 'hormonal dysfunction', 'estrogen']",[0.7565134 0.6274946 0.6050492],0.7565134,0.13703437
Can the use of cholesterol statin drugs lead to breast cancer?,"['Do Cholesterol Statin Drugs Cause Breast Cancer?', 'Statin Cholesterol Drugs and Invasive Breast Cancer', 'Cholesterol Feeds Breast Cancer Cells']",[0.9818865  0.91023    0.70945805],0.9818865,0.11088109
The cause behind Americas obesity problem is what?,"['What’s Driving America’s Obesity Problem?', 'obesity', 'overeating']",[0.8435589  0.69878197 0.6149297 ],0.8435589,0.1655691
The best treatment for constipation is...,"['Best Treatment for Constipation', 'laxatives', 'constipation']",[0.88216734 0.68755376 0.63437986],0.88216734,0.17262661
Benzene is a chemical compound with a cyclic structure consisting of six carbon atoms.,"['benzene', 'polycyclic hydrocarbons', 'polycyclic aromatic hydrocarbons']",[0.621883   0.48496962 0.46803054],0.621883,0.045370698
The Enzyme Myth is true on certain occasions.,"['Sometimes the Enzyme Myth Is True', 'enzymes', 'amylase']",[0.96612334 0.67601    0.5505009 ],0.96612334,0.16444556
What is the best dosage and source of phytosterols for optimal results?,"['Optimal Phytosterol Source', 'Optimal Phytosterol Dose and Source', 'Optimal Phytosterol Dose']",[0.8892272  0.88733804 0.7983091 ],0.8892272,0.15508083
What do leeks refer to?,"['leeks', 'radishes', 'sprouts']",[0.7482945 0.4719746 0.460725 ],0.7482945,0.14845839
Does drinking caffeinated tea cause dehydration?,"['Is Caffeinated Tea Dehydrating?', 'Is Caffeinated Tea Really Dehydrating?', 'Is Coffee Bad For You?']",[0.95008695 0.9499599  0.6097872 ],0.95008695,0.10388047
Gaining weight.,"['overeating', 'weight gain', 'obesity']",[0.70194757 0.68832695 0.6363331 ],0.70194757,0.1828987
Neurocysticercosis is a medical condition involving cysts in the brain.,"['neurocysticercosis', 'cysticercosis', 'brain disease']",[0.8786509  0.66493595 0.5144733 ],0.8786509,0.071246065
Is the safety of annatto food coloring being questioned?,"['Is annatto food coloring safe?', 'food dyes', 'Are Artificial Colors Harmful?']",[0.9275602  0.68586487 0.63227457],0.9275602,0.14003696
300 foods have been assessed for their antioxidant content.,"['Antioxidant Content of 300 Foods', 'Antioxidant Content of 3,139 Foods', 'Antioxidant Power of Plant Foods Versus Animal Foods']",[0.91559315 0.8697008  0.6833216 ],0.91559315,0.16927087
Processed foods that are extremely processed.,"['processed foods', 'ultra-processed foods', 'processed meats']",[0.8372637  0.77596205 0.7714983 ],0.8372637,0.20894621
What is magnesium?,"['magnesium', 'Mineral of the Year—Magnesium', 'manganese']",[0.79993236 0.6807966  0.552569  ],0.79993236,0.12007895
